Type,Trans Date,Post Date,Description,Amount
SALE,10/06/2015,10/08/2015,"STONE OVEN BAKERY",-13.88
SALE,09/12/2015,09/13/2015,"CLEVELAND HEIGHTS UNIVERS",-5.00
SALE,11/03/2015,11/04/2015,"AT&T*BILL PAYMENT",-335.59
SALE,10/13/2015,10/14/2015,"SQ *PHOENIX COFFEE COMPAN",-5.50
SALE,10/16/2015,10/18/2015,"HIGH THAI D",-13.90
SALE,09/02/2015,09/03/2015,"TAZA",-86.90
SALE,09/06/2015,09/07/2015,"USA*PRIORITY VENDING",-2.60
SALE,08/28/2015,08/30/2015,"SQ *PHOENIX COFFEE COMPAN",-7.05
SALE,08/25/2015,08/26/2015,"HIGH THAI D",-55.57
SALE,09/29/2015,10/01/2015,"LOVE S COUNTRY00002212",-22.53
SALE,09/05/2015,09/06/2015,"SQ *PHOENIX COFFEE COMPAN",-16.80
SALE,09/18/2015,09/20/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,09/02/2015,09/04/2015,"MENCHIE`S FROZEN YOGURT",-6.81
SALE,08/08/2015,08/09/2015,"CHIPOTLE 1762",-10.72
SALE,08/10/2015,08/11/2015,"ENTERPRISE RENT-A-CAR",-345.95
SALE,10/12/2015,10/13/2015,"SQ *PHOENIX COFFEE COMPAN",-13.90
SALE,08/31/2015,09/01/2015,"SQ *PHOENIX COFFEE COMPAN",-3.00
SALE,09/19/2015,09/20/2015,"AT&T*BILL PAYMENT",-518.64
SALE,11/09/2015,11/11/2015,"JENIS SPLENDID ICE CRE",-8.00
SALE,11/03/2015,11/05/2015,"CLEVE CLINIC MAIN",-10.00
SALE,08/13/2015,08/14/2015,"SQ *PHOENIX COFFEE COMPAN",-3.45
SALE,08/18/2015,08/19/2015,"WHOLEFDS CTR 10199",-25.55
SALE,08/31/2015,09/01/2015,"BEST BUY      00002717",-97.18
SALE,08/22/2015,08/23/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,10/19/2015,10/20/2015,"NH MILANO TOURING     216",-20.56
SALE,08/19/2015,08/20/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,10/21/2015,10/22/2015,"CHIPOTLE 0079",-10.39
SALE,08/18/2015,08/19/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,09/17/2015,09/18/2015,"TRADER JOE'S #676  QPS",-167.11
SALE,09/15/2015,09/16/2015,"WAYFAIR*Joss & Main",-36.90
SALE,08/24/2015,08/26/2015,"UNITED      0162922793323",-7.99
SALE,08/16/2015,08/18/2015,"CEDAR LEE THEATRE",-20.50
SALE,09/22/2015,09/23/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,09/11/2015,09/13/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/13/2015,09/15/2015,"JOHNNY MANGO WORLD CAF",-35.15
SALE,09/19/2015,09/20/2015,"SQ *PHOENIX COFFEE COMPAN",-10.30
PAYMENT,09/27/2015,09/27/2015,"Payment Thank You - Web",3054.87
SALE,11/11/2015,11/12/2015,"TST* DAILY - EDGEWATER",-19.02
SALE,10/10/2015,10/12/2015,"NIGHTTOWN",-76.72
SALE,10/26/2015,10/27/2015,"RESTAURANT L'OSTERIA",-15.11
SALE,10/04/2015,10/06/2015,"SHELL OIL 57424318004",-24.76
SALE,10/18/2015,10/19/2015,"CVS/PHARMACY #07687",-23.16
SALE,09/22/2015,09/23/2015,"USPS CHANGE OF66100959",-1.05
SALE,08/13/2015,08/16/2015,"THE WINE SPOT",-26.98
SALE,09/10/2015,09/11/2015,"SQ *PHOENIX COFFEE COMPAN",-8.85
SALE,10/20/2015,10/21/2015,"PERGOLA CAFE    4516641",-15.72
SALE,10/17/2015,10/18/2015,"SQ *PHOENIX COFFEE COMPAN",-4.85
SALE,08/17/2015,08/19/2015,"SHELL OIL 57424307908",-25.44
SALE,09/10/2015,09/13/2015,"CEDAR LEE THEATRE",-35.75
SALE,08/09/2015,08/11/2015,"FRUTERIA B SOU22308027",-12.16
SALE,11/01/2015,11/02/2015,"WH SMITH TRAVEL",-18.56
SALE,09/27/2015,09/28/2015,"DEWEYS PIZZA CLEV HGHTS",-49.74
SALE,09/19/2015,09/20/2015,"PAYPAL *FELDENKRAIS",-9.95
SALE,09/22/2015,09/23/2015,"2159 S GREEN",-21.49
SALE,09/09/2015,09/10/2015,"WHOLEFDS CTR 10199",-177.17
SALE,09/04/2015,09/06/2015,"SQ *PHOENIX COFFEE COMPAN",-3.30
SALE,10/10/2015,10/12/2015,"NORDSTROM #0227",-64.75
SALE,09/25/2015,09/27/2015,"SHELL OIL 57424307908",-3.92
SALE,11/10/2015,11/11/2015,"NATIONWIDE/ALLIED INS",-308.56
SALE,09/29/2015,09/30/2015,"SQ *PHOENIX COFFEE COMPAN",-3.65
SALE,09/09/2015,09/11/2015,"THE HOME DEPOT 3818",-26.76
SALE,08/24/2015,08/25/2015,"WHOLEFDS CTR 10199",-27.45
SALE,10/10/2015,10/12/2015,"STONE OVEN BAKERY",-16.42
SALE,09/25/2015,09/27/2015,"BLENDED HEALTH LLC",-10.64
SALE,08/06/2015,08/09/2015,"STONE OVEN BAKERY",-4.86
SALE,08/26/2015,08/27/2015,"SQ *PHOENIX COFFEE COMPAN",-5.35
SALE,11/06/2015,11/08/2015,"TAZA",-56.17
SALE,09/27/2015,09/28/2015,"SQ *PHOENIX COFFEE COMPAN",-14.38
SALE,08/21/2015,08/23/2015,"USA*PRIORITY VENDING",-2.60
SALE,08/09/2015,08/11/2015,"PICCADILLY ARTISAN YOGUR",-6.47
SALE,08/17/2015,08/19/2015,"CINEMARK THEATRES 283",-19.00
SALE,10/29/2015,10/30/2015,"H&M Kaerntnerstr. 149",-8.78
SALE,11/05/2015,11/06/2015,"PINSAS        51275881",-8.00
SALE,08/07/2015,08/09/2015,"STARBUCKS #10208 CLEVELAN",-2.25
SALE,10/07/2015,10/09/2015,"LEMON FALLS, INC.",-35.00
SALE,11/06/2015,11/08/2015,"CINEMARK THEATRES 283",-20.00
SALE,08/12/2015,08/13/2015,"ALADDINS EATERY",-13.90
SALE,08/26/2015,08/27/2015,"FSI*DOM EAST OHIO",-112.76
SALE,09/22/2015,09/23/2015,"PINSAS        51275881",-8.00
SALE,10/19/2015,10/20/2015,"MARK ET SPENCER",-9.96
SALE,11/11/2015,11/12/2015,"CHIPOTLE 1762",-9.74
SALE,08/14/2015,08/16/2015,"MAC'S BACKS-BOOKS ON COV",-6.47
SALE,09/10/2015,09/11/2015,"ARSLANIAN BROTHERS CARPET",-85.32
SALE,09/06/2015,09/08/2015,"SUNOCO 0443373603",-18.40
SALE,08/31/2015,09/01/2015,"PETSMART INC 2313",-63.99
SALE,11/11/2015,11/12/2015,"PURA VIDA NATURAL FOODS",-11.70
SALE,10/05/2015,10/06/2015,"MELT BAR & GRILLED  CLEVE",-47.96
SALE,08/08/2015,08/10/2015,"180 DEGREE DESIGNS",-20.64
SALE,08/09/2015,08/10/2015,"SQ *PHOENIX COFFEE COMPAN",-5.20
SALE,10/12/2015,10/13/2015,"CHIPOTLE 0079",-11.89
SALE,09/27/2015,09/29/2015,"SHELL OIL 57424318004",-5.23
SALE,09/17/2015,09/20/2015,"SHELL OIL 57424307908",-1.93
SALE,10/26/2015,10/28/2015,"RESTAURANT DANIELI",-115.23
SALE,09/05/2015,09/07/2015,"SHELL OIL 57441613205",-2.98
SALE,08/13/2015,08/14/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/01/2015,09/03/2015,"THE HOME DEPOT 3818",-51.73
SALE,09/19/2015,09/20/2015,"AmazonPrime Membership",-106.92
SALE,09/21/2015,09/23/2015,"TZARMEDIA.COM",-1.00
SALE,09/25/2015,09/27/2015,"USA*PRIORITY VENDING OH",-1.35
SALE,08/11/2015,08/12/2015,"SQ *PHOENIX COFFEE COMPAN",-10.00
SALE,09/22/2015,09/23/2015,"WHOLEFDS CTR 10199",-54.34
SALE,10/01/2015,10/02/2015,"THE LIMITED - BEAC",-94.44
SALE,10/14/2015,10/15/2015,"MOON FOOD",-27.63
SALE,11/09/2015,11/11/2015,"CLEV HTS - PARKING",-2.00
SALE,10/31/2015,11/02/2015,"STARBUCKS 2501",-7.14
SALE,11/01/2015,11/02/2015,"WH SMITH TRAVEL",-7.72
SALE,10/22/2015,10/23/2015,"CHIPOTLE 1762",-10.39
SALE,09/11/2015,09/13/2015,"BLENDED HEALTH LLC",-11.64
SALE,08/26/2015,08/28/2015,"LOPEZ",-87.98
SALE,08/20/2015,08/21/2015,"LAURA LEE SALON INC",-216.28
SALE,10/24/2015,10/28/2015,"COURTYARD BY MARRIOTT",-6.54
SALE,08/13/2015,08/16/2015,"STONE OVEN BAKERY",-8.15
SALE,09/25/2015,09/27/2015,"USA*PRIORITY VENDING",-2.60
SALE,08/07/2015,08/09/2015,"SKI HAUS CONOCO",-1.00
SALE,09/30/2015,10/01/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/25/2015,09/27/2015,"ALADDINS EATERY",-12.50
SALE,09/03/2015,09/03/2015,"APL* ITUNES.COM/BILL",-6.47
SALE,08/15/2015,08/16/2015,"CVS/PHARMACY #04350",-16.72
SALE,08/15/2015,08/16/2015,"PICCADILLY ARTISAN YOGUR",-3.94
SALE,08/15/2015,08/16/2015,"SQ *PHOENIX COFFEE COMPAN",-10.15
SALE,10/25/2015,10/26/2015,"SQ *PHOENIX COFFEE COMPAN",-3.30
SALE,09/09/2015,09/10/2015,"CVS/PHARMACY #03634",-72.14
SALE,10/23/2015,10/25/2015,"P'aa Restaurant Delights",-76.87
SALE,11/08/2015,11/09/2015,"MAC'S BACKS-BOOKS ON COV",-22.62
SALE,08/21/2015,08/24/2015,"CAFE TANDOOR CLEVELAND HE",-86.74
SALE,10/23/2015,10/25/2015,"GUM.CO/CC BALINT ERDI",-39.00
SALE,11/09/2015,11/10/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,08/11/2015,08/12/2015,"USA*PRIORITY VENDING",-2.60
SALE,09/14/2015,09/15/2015,"AMAZON MKTPLACE PMTS",-249.98
SALE,09/19/2015,09/20/2015,"WHOLEFDS CTR 10199",-32.48
SALE,10/20/2015,10/21/2015,"BLENDED HEALTH LLC",-1.89
SALE,10/10/2015,10/12/2015,"CINEMARK THEATRES 283",-11.75
SALE,10/12/2015,10/13/2015,"2159 S GREEN",-22.81
SALE,08/28/2015,08/30/2015,"WHOLEFDS CTR 10199",-20.66
SALE,11/03/2015,11/04/2015,"WHOLEFDS CTR 10199",-12.95
SALE,11/07/2015,11/08/2015,"2159 S GREEN",-18.38
SALE,10/26/2015,10/27/2015,"TRANSITBAR A4 T1",-8.19
SALE,08/07/2015,08/09/2015,"CAFE BON APPETIT",-16.18
SALE,08/21/2015,08/23/2015,"SQ *PHOENIX COFFEE COMPAN",-8.15
SALE,09/21/2015,09/23/2015,"JENIS SPLENDID ICE CRE",-17.95
SALE,10/25/2015,10/26/2015,"RELAY # 4982",-8.73
SALE,08/08/2015,08/09/2015,"PAYPAL *GREG KOLAR",-355.00
SALE,11/08/2015,11/09/2015,"TARGET        00018044",-49.07
SALE,10/08/2015,10/09/2015,"CVS/PHARMACY #03634",-11.33
SALE,09/08/2015,09/09/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,11/02/2015,11/03/2015,"HA AHN RESTAURANT",-38.79
SALE,11/08/2015,11/09/2015,"SQ *PHOENIX COFFEE COMPAN",-3.65
SALE,09/20/2015,09/22/2015,"SHELL OIL 57424318004",-24.73
SALE,10/16/2015,10/18/2015,"EMBERSCREENCASTS.COM",-9.95
SALE,10/19/2015,10/20/2015,"TARGET        00013243",-32.39
SALE,09/07/2015,09/08/2015,"CVS/PHARMACY #03634",-1.38
SALE,09/04/2015,09/06/2015,"SHAKER SQUARE CINEMAS",-29.25
SALE,08/16/2015,08/17/2015,"CVS/PHARMACY #07687",-11.52
SALE,11/01/2015,11/03/2015,"SHELL 620 SOUTH SERVICE R",-29.84
SALE,10/14/2015,10/16/2015,"SHELL OIL 57424318004",-9.27
SALE,09/01/2015,09/02/2015,"SQ *PHOENIX COFFEE COMPAN",-18.69
SALE,08/07/2015,08/10/2015,"NOODLES & MORE SAIGON CAF",-36.97
SALE,10/29/2015,10/30/2015,"Claire's",-41.64
SALE,10/03/2015,10/04/2015,"SQ *PHOENIX COFFEE COMPAN",-8.70
SALE,08/08/2015,08/09/2015,"SQ *PHOENIX COFFEE COMPAN",-2.30
SALE,11/06/2015,11/08/2015,"CODEMENTOR",-63.53
SALE,08/20/2015,08/23/2015,"STONE OVEN BAKERY",-19.98
SALE,09/27/2015,09/28/2015,"CVS/PHARMACY #03634",-14.97
SALE,09/02/2015,09/03/2015,"MARATHON PETRO156059",-28.52
SALE,11/03/2015,11/04/2015,"CVS/PHARMACY #07687",-8.77
SALE,09/21/2015,09/22/2015,"ALADDINS EATERY",-36.80
SALE,10/04/2015,10/05/2015,"WHOLEFDS CTR 10199",-122.68
SALE,11/10/2015,11/11/2015,"HNDISCOVER ST728",-4.31
SALE,08/08/2015,08/10/2015,"WESTERN CONVENIENCE #149",-4.77
SALE,09/14/2015,09/15/2015,"PAYPAL *MYMEDHOUSIN",-25.00
SALE,10/03/2015,10/05/2015,"TOMMYS",-40.61
SALE,10/24/2015,10/25/2015,"SQ *PHOENIX COFFEE COMPAN",-2.55
SALE,09/01/2015,09/02/2015,"SEAMUS MOROTTA, IN",-130.08
SALE,10/16/2015,10/18/2015,"PAPA JOHN'S #00226.COM",-16.50
SALE,09/09/2015,09/09/2015,"Amazon Video On Demand",-7.55
SALE,08/07/2015,08/09/2015,"WAL-MART #1808",-43.46
SALE,10/06/2015,10/07/2015,"CHIPOTLE 0735",-18.84
SALE,09/26/2015,09/27/2015,"CHIPOTLE 0079",-11.07
SALE,08/11/2015,08/13/2015,"THE HOME DEPOT 3818",-10.61
SALE,08/10/2015,08/11/2015,"SQ *PHOENIX COFFEE COMPAN",-4.75
SALE,09/29/2015,09/30/2015,"SQ *PHOENIX COFFEE COMPAN",-5.55
SALE,08/23/2015,08/24/2015,"CVS/PHARMACY #07687",-3.21
SALE,11/09/2015,11/11/2015,"STONE OVEN BAKERY",-15.77
SALE,08/23/2015,08/24/2015,"WHOLEFDS CTR 10199",-92.81
SALE,08/14/2015,08/16/2015,"NETFLIX.COM",-8.63
SALE,09/24/2015,09/25/2015,"CVS/PHARMACY #03634",-4.68
SALE,11/10/2015,11/11/2015,"PUBLIX #1397",-22.75
SALE,08/21/2015,08/23/2015,"STONE OVEN BAKERY",-4.50
SALE,10/25/2015,10/26/2015,"SPEEDWAY 03998",-17.33
SALE,09/14/2015,09/16/2015,"U-HAUL MOVING & STORAGE A",-27.73
SALE,10/03/2015,10/05/2015,"THE FLOWER LADY",-71.24
SALE,09/15/2015,09/16/2015,"CVS/PHARMACY #03634",-6.68
SALE,08/10/2015,08/11/2015,"HIGH THAI D",-50.31
SALE,10/25/2015,10/26/2015,"4221 STARBUCKS BACARDI",-2.09
SALE,10/03/2015,10/05/2015,"SYNTAUR PRODUCTIONS",-11.90
SALE,08/17/2015,08/18/2015,"HA AHN RESTAURANT",-52.69
SALE,11/06/2015,11/09/2015,"TERRY CARLIN VIOLINS",-17.23
SALE,08/20/2015,08/21/2015,"SEAMUS MOROTTA, IN",-105.48
SALE,09/12/2015,09/14/2015,"OFFICEMAX/OFFICEDEPOT6601",-11.08
SALE,08/27/2015,08/28/2015,"PINSAS        51275881",-8.00
SALE,09/16/2015,09/18/2015,"LEMON FALLS, INC.",-18.11
SALE,09/07/2015,09/08/2015,"CVS/PHARMACY #03634",-42.57
SALE,11/03/2015,11/04/2015,"YOGA ROOTS",-120.00
SALE,08/28/2015,08/30/2015,"NIGHTTOWN",-103.32
SALE,08/31/2015,09/01/2015,"WHOLEFDS CTR 10199",-10.95
SALE,09/12/2015,09/13/2015,"WHOLEFDS CTR 10199",-134.97
SALE,08/28/2015,08/31/2015,"STONE OVEN BAKERY",-16.20
SALE,10/11/2015,10/12/2015,"TARGET        00018044",-182.61
SALE,09/17/2015,09/18/2015,"ZAGARA'S MARKETPLA",-54.70
SALE,11/10/2015,11/12/2015,"CURRITO BURRITOS WITHOUT",-11.87
SALE,09/19/2015,09/21/2015,"MATTFIRM 105012-MFI",-312.12
SALE,09/18/2015,09/20/2015,"CHIPOTLE 0810",-8.45
SALE,09/14/2015,09/15/2015,"SQ *PHOENIX COFFEE COMPAN",-10.05
SALE,10/08/2015,10/11/2015,"STONE OVEN BAKERY",-15.75
SALE,09/01/2015,09/02/2015,"CLEV HTS - UBILL UTILITIE",-45.82
SALE,09/14/2015,09/15/2015,"NETFLIX.COM",-8.63
SALE,08/27/2015,08/28/2015,"USA*PRIORITY VENDING",-2.60
SALE,08/16/2015,08/18/2015,"AMAZING WOK II",-8.90
SALE,08/11/2015,08/13/2015,"SHELL OIL 57424307908",-27.50
SALE,11/02/2015,11/03/2015,"BLENDED HEALTH LLC",-9.64
SALE,10/15/2015,10/16/2015,"Chez Leon",-28.74
SALE,08/15/2015,08/16/2015,"CVS/PHARMACY #03634",-1.62
SALE,10/07/2015,10/09/2015,"SHELL OIL 57424307908",-1.93
SALE,09/18/2015,09/20/2015,"SQ *PHOENIX COFFEE COMPAN",-2.55
SALE,08/20/2015,08/23/2015,"THE HOME DEPOT 3818",-12.15
SALE,11/03/2015,11/05/2015,"NORDSTROM #0227",-95.04
SALE,09/20/2015,09/22/2015,"SHELL OIL 57424318004",-3.24
SALE,09/04/2015,09/07/2015,"TERRY CARLIN VIOLINS",-129.57
SALE,08/14/2015,08/16/2015,"MAC'S BACKS-BOOKS ON COV",-18.36
SALE,09/14/2015,09/14/2015,"Amazon.com",-32.39
SALE,08/19/2015,08/21/2015,"HIGH THAI D",-26.40
SALE,08/16/2015,08/18/2015,"SARAHS VINEYARD",-18.01
SALE,10/23/2015,10/25/2015,"ELECTRONIC ACCESSOIRES",-43.34
SALE,09/06/2015,09/08/2015,"RETRO DOG LLC",-3.99
SALE,08/15/2015,08/16/2015,"CHIPOTLE 1762",-12.67
SALE,08/30/2015,08/31/2015,"ALADDINS EATERY-PORTAGE T",-17.34
SALE,10/20/2015,10/22/2015,"SHELL OIL 57424318004",-7.78
SALE,11/03/2015,11/04/2015,"PETSMART INC 2313",-97.60
SALE,08/27/2015,08/28/2015,"ALADDINS EATERY",-39.45
SALE,08/29/2015,08/30/2015,"CHIPOTLE 0079",-27.94
SALE,10/13/2015,10/14/2015,"ALADDINS EATERY",-12.50
SALE,08/24/2015,08/25/2015,"ZAGARA'S MARKETPLA",-44.01
SALE,08/24/2015,08/25/2015,"SQ *PHOENIX COFFEE COMPAN",-7.00
SALE,09/06/2015,09/08/2015,"STARBUCKS     11171501",-7.80
SALE,08/24/2015,08/26/2015,"U-HAUL MOVING & STORAGE A",-7.77
SALE,08/24/2015,08/25/2015,"CVS/PHARMACY #07687",-4.29
SALE,08/17/2015,08/18/2015,"OH FARM BUREAU FEDERATION",-70.00
SALE,10/04/2015,10/06/2015,"SHELL OIL 57424318004",-8.81
SALE,10/19/2015,10/21/2015,"COST PLUS WLD #115",-6.46
SALE,11/10/2015,11/12/2015,"SHELL OIL 57424318004",-22.12
SALE,09/14/2015,09/16/2015,"U-HAUL MOVING & STORAGE A",-3.19
SALE,08/13/2015,08/14/2015,"PETSMART INC 2313",-25.37
SALE,09/29/2015,09/30/2015,"ALADDINS EATERY",-27.85
SALE,09/02/2015,09/03/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,11/09/2015,11/11/2015,"LOPEZ",-77.40
SALE,10/16/2015,10/18/2015,"EXKI 009",-4.48
SALE,10/12/2015,10/13/2015,"HIGH THAI D",-44.02
SALE,09/03/2015,09/04/2015,"SQ *PHOENIX COFFEE COMPAN",-4.60
SALE,08/29/2015,08/30/2015,"CVS/PHARMACY #03634",-27.92
SALE,11/08/2015,11/10/2015,"TOMMYS",-36.52
SALE,10/28/2015,10/29/2015,"Go Gourmet",-45.38
SALE,08/12/2015,08/13/2015,"DICK'S CLOTHING&SPORTING",-95.03
SALE,11/07/2015,11/08/2015,"LAURA LEE SALON INC",-175.36
SALE,09/10/2015,09/13/2015,"STONE OVEN BAKERY",-4.50
SALE,11/03/2015,11/05/2015,"TROPICAL",-10.98
SALE,08/10/2015,08/11/2015,"ALADDINS EATERY",-21.80
SALE,11/04/2015,11/05/2015,"KENKO SUSHI & TERIYAKI",-7.95
SALE,10/12/2015,10/13/2015,"SQ *PHOENIX COFFEE COMPAN",-2.00
SALE,10/12/2015,10/13/2015,"YUL PIZZA",-4.45
SALE,08/18/2015,08/18/2015,"CHEAPOAIR.COM AIR",-29.90
SALE,10/31/2015,11/01/2015,"Musikfreunde in Wien",-86.37
SALE,08/09/2015,08/10/2015,"CVS/PHARMACY #03634",-13.76
